time,lat,lon,elevation,accuracy,speed
2014-11-06T08:16:34Z,50.066755,19.921376,251.566080,8.000000,4.882656
2014-11-06T08:16:35Z,50.066774,19.921309,252.399153,8.000000,4.707125
2014-11-06T08:16:45Z,50.066849,19.921069,253.265080,12.000000,1.943020
2014-11-06T08:16:47Z,50.066870,19.921010,253.186303,12.000000,2.316364
2014-11-06T08:17:05Z,50.067106,19.920048,252.391977,8.000000,7.559597
2014-11-06T08:17:07Z,50.067168,19.919853,253.143919,6.000000,7.185750
2014-11-06T08:17:09Z,50.067229,19.919656,254.459915,8.000000,7.620956
2014-11-06T08:17:13Z,50.067338,19.919291,254.512084,8.000000,6.705682
2014-11-06T08:17:16Z,50.067409,19.919072,253.515912,8.000000,5.116817
2014-11-06T08:17:19Z,50.067454,19.918914,252.439751,12.000000,3.815064
2014-11-06T08:17:23Z,50.067494,19.918768,252.427826,6.000000,0.911784
2014-11-06T08:17:28Z,50.067494,19.918768,252.422775,6.000000,0.000000
2014-11-06T08:17:29Z,50.067497,19.918753,252.442996,6.000000,1.088892
2014-11-06T08:17:33Z,50.067540,19.918554,252.441723,8.000000,4.163398
2014-11-06T08:17:35Z,50.067569,19.918422,251.731499,8.000000,5.469902
2014-11-06T08:17:36Z,50.067586,19.918340,251.577176,8.000000,5.996200
2014-11-06T08:17:38Z,50.067619,19.918145,251.830166,8.000000,6.887876
2014-11-06T08:17:44Z,50.067675,19.917482,250.697544,6.000000,8.021270
2014-11-06T08:17:54Z,50.067627,19.916416,249.613421,8.000000,7.504103
2014-11-06T08:17:57Z,50.067622,19.916105,249.089123,8.000000,6.676612
2014-11-06T08:17:58Z,50.067621,19.916014,248.662614,6.000000,6.130826
2014-11-06T08:18:03Z,50.067615,19.915749,248.082552,16.000000,1.218203
2014-11-06T08:18:13Z,50.067481,19.915554,248.039077,6.000000,0.990630
2014-11-06T08:18:16Z,50.067458,19.915543,248.094510,8.000000,0.000000
